,BOGHOLES,,BEGHLOOS,1,
,BOGLANDS,,ABDGLNOS,1,
,BOINGING,,BGGIINNO,1,
,BOMBARDE,drs,ABBDEMOR,1,
,BOMBORAS,,ABBMOORS,1,
,BONEBEDS,,BBDEENOS,1,
,BONTBOKS,,BBKNOOST,1,
,BONUSING,s,BGINNOSU,1,
,BOOGALOO,s,ABGLOOOO,1,
,BOOKBAGS,,ABBGKOOS,1,
,BOOKWORK,s,BKKOOORW,1,2
,BOOZINGS,,BGINOOSZ,1,
,BOPPIEST,,BEIOPPST,1,
,BORAZONS,,ABNOORSZ,1,
,BORKINGS,,BGIKNORS,1,2
,BORONIAS,,ABINOORS,1,
,BOULTING,,BGILNOTU,1,
,BOUTADES,,ABDEOSTU,1,
,BOWHUNTS,,BHNOSTUW,1,
,BOWWOODS,,BDOOOSWW,1,
,BRAHMANS,,AABHMNRS,1,
,BRANDADE,s,AABDDENR,1,
,BREKKIES,,BEEIKKRS,1,
,BRESAOLA,s,AABELORS,1,
,BRILLEST,,BEILLRST,1,
,BROADWAY,s,AABDORWY,1,
,BROASTED,,ABDEORST,1,2
,BROMANCE,s,ABCEMNOR,1,
,BROMELIA,ds,ABEILMOR,1,
,BROWBONE,s,BBENOORW,1,
,BROWNERS,,BENORRSW,1,
,BRUCITES,,BCEIRSTU,1,
,BUDWOODS,,BDDOOSUW,1,
,BULLCOOK,s,BCKLLOOU,1,
,BULLDIKE,s,BDEIKLLU,1,
,BULLSEYE,s,BEELLSUY,1,
,BUNCHERS,,BCEHNRSU,1,2
,BUNFIGHT,s,BFGHINTU,1,
,BUNHEADS,,ABDEHNSU,1,
,BURNSIDE,s,BDEINRSU,2,
,BURRFISH,,BFHIRRSU,1,
,BURSTIER,,BEIRRSTU,1,3
,BUSHBABY,,ABBBHSUY,1,
,BUSHLOTS,,BHLOSSTU,1,
,BUSKINGS,,BGIKNSSU,1,
,BUTCHEST,,BCEHSTTU,1,
,BUTTLING,,BGILNTTU,1,
,BUZZBAIT,s,ABBITUZZ,1,
,BUZZIEST,,BEISTUZZ,1,
,BUZZINGS,,BGINSUZZ,1,
,BUZZKILL,s,BIKLLUZZ,1,
,CABLINGS,,ABCGILNS,1,
,CABOVERS,,ABCEORSV,1,
,CACHACAS,,AAACCCHS,1,
,CAESIOUS,,ACEIOSSU,1,
,CAGOULES,,ACEGLOSU,1,
,CAKEHOLE,s,ACEEHKLO,1,
,CALATHEA,s,AAACEHLT,1,
,CALCRETE,s,ACCEELRT,1,
,CALFHOOD,s,ACDFHLOO,1,
,CALLALOU,s,AACLLLOU,1,
,CALLOUTS,,ACLLOSTU,1,3
,CALLOWLY,,ACLLLOWY,1,
,CALLUNAS,,AACLLNSU,1,
,CAMBOOSE,s,ABCEMOOS,1,
,CAMCORDS,,ACCDMORS,1,
,CAMWOODS,,ACDMOOSW,1,
,CANDYMAN,,AACDMNNY,1,
,CANDYMEN,,ACDEMNNY,1,
,CANOEMAN,,AACEMNNO,1,
,CANOEMEN,,ACEEMNNO,1,
,CANTHARI,s,AACHINRT,1,
,CANTORIS,,ACINORST,1,3
,CANTUSES,,ACENSSTU,1,2
,CAPONISE,ds,ACEINOPS,1,2
,CAPRESES,,ACEEPRSS,1,3
,CARIBOOS,,ABCIOORS,1,
,CARINGLY,,ACGILNRY,1,
,CARRYCOT,s,ACCORRTY,1,
,CARSPIEL,s,ACEILPRS,1,4
,CARTFULS,,ACFLRSTU,1,
,CASELAWS,,AACELSSW,1,
,CASHBACK,s,AABCCHKS,1,
,CASSIOPE,s,ACEIOPSS,1,
,CASTERED,,ACDEERST,1,
,CATALYSE,ds,AACELSTY,1,2
,CATBRIAR,s,AABCIRRT,1,
,CATCHILY,,ACCHILTY,1,
,CEDARIER,,ACDEEIRR,1,
,CERESINS,,CEEINRSS,1,
,CHAINERS,,ACEHINRS,1,3
,CHAPPALS,,AACHLPPS,1,
,CHARETTE,s,ACEEHRTT,1,2
,CHARTISM,s,ACHIMRST,1,
,CHATLINE,s,ACEHILNT,1,2
,CHECKBOX,,BCCEHKOX,1,
,CHEDARIM,,ACDEHIMR,1,
,CHERRIER,,CEEHIRRR,1,
,CHIMENEA,s,ACEEHIMN,1,
,CHIMINEA,s,ACEHIIMN,1,
,CHINCHED,,CCDEHHIN,1,
,CHINSING,,CGHIINNS,1,
,CHIPSETS,,CEHIPSST,1,
,CHOLIAMB,s,ABCHILMO,1,
,CHOOSILY,,CHILOOSY,1,
,CHOREBOY,s,BCEHOORY,1,
,CHROMOLY,,CHLMOORY,1,
,CHUCKERS,,CCEHKRSU,1,
,CHUMMIES,t,CEHIMMSU,1,
,CHUNDERS,,CDEHNRSU,1,
,CHURINGA,s,ACGHINRU,1,
,CIABATTA,s,AAABCITT,1,
,CINEPLEX,,CEEILNPX,1,
,CIPAILLE,s,ACEIILLP,1,
,CIRRUSES,,CEIRRSSU,1,3
,CLEANISH,,ACEHILNS,1,
,CLEANOUT,s,ACELNOTU,1,
,CLEAROUT,s,ACELORTU,1,
,CLEARWAY,s,AACELRWY,1,2
,CLIFFTOP,s,CFFILOPT,1,
,CLITTERS,,CEILRSTT,1,
,CLONKIER,,CEIKLNOR,1,
,CLOTBURS,,BCLORSTU,1,
,CLUBLAND,s,ABCDLLNU,1,
,CLUBMATE,s,ABCELMTU,1,
,CLUBMOSS,,BCLMOSSU,1,
,CLUCKERS,,CCEKLRSU,1,
,CLUMPERS,,CELMPRSU,2,3
,CLUMPETS,,CELMPSTU,1,
,COALFACE,s,AACCEFLO,1,
,COARSISH,,ACHIORSS,1,
,COAXINGS,,ACGINOSX,1,
,COCKSMAN,,ACCKMNOS,1,
,COCKSMEN,,CCEKMNOS,1,
,COCOONER,s,CCENOOOR,1,
,CODOMAIN,s,ACDIMNOO,1,2
,COELIACS,,ACCEILOS,1,2
,COLORISE,ds,CEILOORS,1,
,COLTHOOD,s,CDHLOOOT,1,
,COMBOVER,s,BCEMOORV,1,
,COMEDIST,s,CDEIMOST,1,3
,COMPINGS,,CGIMNOPS,1,
,CONTANGO,s,ACGNNOOT,1,
,COOLABAH,s,AABCHLOO,1,
,COOLIBAH,s,ABCHILOO,1,
,COONSHIT,s,CHINOOST,1,
,COPIABLE,,ABCEILOP,1,
,CORELLAS,,ACELLORS,1,
,CORMLETS,,CELMORST,1,
,CORNETTI,,CEINORTT,1,2
,CORNETTO,s,CENOORTT,1,
,CORNETTS,,CENORSTT,1,
