,ACRATIC,,AACCIRT,1,
,ADELGID,s,ADDEGIL,1,
,ADIOSES,,ADEIOSS,1,
b,ADLANDS,,AADDLNS,1,
,ADSUKIS,,ADIKSSU,1,
,ADWARES,,AADERSW,1,2
,AERADIO,s,AADEIOR,1,
,AETATIS,,AAEISTT,1,2
,AGONISM,s,AGIMNOS,1,
,AIRBASE,s,AABEIRS,1,
h,AIRLOCK,s,ACIKLOR,1,
,AIRSIDE,s,ADEIIRS,1,3
,AIRSOME,,AEIMORS,1,
,AIRTRAM,s,AAIMRRT,1,
,AIRVACS,,AACIRSV,1,2
,AKEBIAS,,AABEIKS,1,
,AKRASIA,s,AAAIKRS,1,
,AKRATIC,,AACIKRT,1,
,ALCOOLS,,ACLLOOS,1,
,ALCOPOP,s,ACLOOPP,1,
,ALIASED,,AADEILS,1,
,ALIYOTH,,AHILOTY,1,
,ALLIAKS,,AAIKLLS,1,2
,AMAUTIK,s,AAIKMTU,1,
,AMAUTIS,,AAIMSTU,1,
r,AMENTUM,,AEMMNTU,1,
,AMTRAKS,,AAKMRST,1,
,ANANDAS,,AAADNNS,1,
,ANIMATI,,AAIIMNT,1,
,ANODISE,drs,ADEINOS,1,
,ANTHROS,,AHNORST,1,
,APLANAT,s,AAALNPT,1,
,APPRESS,,AEPPRSS,1,2
,AQUAFIT,s,AAFIQTU,1,
,ARCINGS,,ACGINRS,2,5
,ARROCES,,ACEORRS,1,2
,ARROZES,,AEORRSZ,1,
,ARTIGIS,,AGIIRST,1,
,ARTSIES,t,AEIRSST,1,2
,ASHPANS,,AAHNPSS,1,
,ASHRAMA,s,AAAHMRS,1,
,ASKARIS,,AAIKRSS,1,
,ASPRAWL,,AALPRSW,1,
,ASTANGA,s,AAAGNST,1,
,ATISHOO,,AHIOOST,1,
,BABACUS,,AABBCSU,1,
,BACCALA,s,AAABCCL,1,
,BACCIES,,ABCCEIS,1,2
,BACKBAR,s,AABBCKR,1,
,BACKFAT,s,AABCFKT,1,2
,BACKLOT,s,ABCKLOT,1,
,BADDISH,,ABDDHIS,1,
,BAIDARS,,AABDIRS,1,
,BALAFON,s,AABFLNO,1,
,BALINGS,,ABGILNS,1,2
,BALLBOY,s,ABBLLOY,1,
,BALLIER,,ABEILLR,1,3
,BALLSED,,ABDELLS,1,
,BALLSES,,ABELLSS,1,
,BANDIER,,ABDEINR,1,2
,BANDURA,s,AABDNRU,1,
,BARBOTS,,ABBORST,1,
,BARGOON,s,ABGNOOR,1,
,BARMILY,,ABILMRY,1,
,BASSEST,,ABESSST,1,2
,BATARDS,,AABDRST,1,3
,BATATAS,,AAABSTT,1,
,BATSHIT,,ABHISTT,1,
,BATTILY,,ABILTTY,1,
,BAULKER,s,ABEKLRU,1,
,BAYSIDE,s,ABDEISY,1,
,BAYWOPS,,ABOPSWY,1,
,BAZZING,,ABGINZZ,1,
,BEAGLED,,ABDEEGL,1,
,BEAGLER,s,ABEEGLR,1,
,BEALING,s,ABEGILN,1,
,BEARPAW,s,AABEPRW,1,
,BEATBOX,,ABBEOTX,1,
,BEAUTER,,ABEERTU,1,
,BEDHEAD,s,ABDDEEH,1,
,BEDREST,s,BDEERST,1,
,BEDSOCK,s,BCDEKOS,1,
,BEERILY,,BEEILRY,1,
,BEERNUT,s,BEENRTU,1,
,BEHOOFS,,BEFHOOS,1,
,BEIGEST,,BEEGIST,1,
,BEJASUS,,ABEJSSU,1,
,BERBERS,,BBEERRS,1,
,BERDASH,,ABDEHRS,1,
,BEVVIES,,BEEISVV,1,
,BIFIDUM,s,BDFIIMU,1,
,BIFOLDS,,BDFILOS,1,
,BIGUINE,s,BEGIINU,1,
,BIJURAL,,ABIJLRU,1,
,BIMINIS,,BIIIMNS,1,
,BITTILY,,BIILTTY,1,
,BITWISE,,BEIISTW,1,
,BLAGGED,,ABDEGGL,1,
,BLAGGER,s,ABEGGLR,1,
,BLAGUES,,ABEGLSU,1,2
,BLAHEST,,ABEHLST,1,
,BLAMMED,,ABDELMM,1,
,BLANKIE,s,ABEIKLN,1,
,BLEARER,,ABEELRR,1,2
,BLEWITS,,BEILSTW,1,
,BLINGED,,BDEGILN,1,
,BLOGGED,,BDEGGLO,1,2
,BLOKIER,,BEIKLOR,1,
,BODYMAN,,ABDMNOY,1,
,BODYMEN,,BDEMNOY,1,
,BOFFINY,,BFFINOY,1,
,BOGHOLE,s,BEGHLOO,1,
,BOGLAND,s,ABDGLNO,1,
,BOINGED,,BDEGINO,1,
,BOKKENS,,BEKKNOS,1,
,BOLDING,,BDGILNO,1,
,BOMBORA,s,ABBMOOR,1,
,BONEBED,s,BBDEENO,1,
,BONNIES,t,BEINNOS,1,2
,BONTBOK,s,BBKNOOT,1,
,BOOKBAG,s,ABBGKOO,1,
,BOONEST,,BENOOST,1,2
,BOPPIER,,BEIOPPR,1,
,BOPPISH,,BHIOPPS,1,
,BORAZON,s,ABNOORZ,1,
,BORONIA,s,ABINOOR,1,
,BOSSEST,,BEOSSST,1,
,BOULTED,,BDELOTU,1,2
,BOUTADE,s,ABDEOTU,1,
,BOVVERS,,BEORSVV,1,
,BOWHUNT,s,BHNOTUW,1,
,BOWSAWS,,ABOSSWW,1,
,BOWSERS,,BEORSSW,1,2
,BOWSMAN,,ABMNOSW,1,
,BOWSMEN,,BEMNOSW,1,2
,BOWWOOD,s,BDOOOWW,1,
,BRAHMAN,s,AABHMNR,1,
,BREGMAS,,ABEGMRS,1,
,BREKKIE,s,BEEIKKR,1,
,BRIDIES,,BDEIIRS,1,2
,BRILLER,,BEILLRR,1,
,BROASTS,,ABORSST,1,
,BROLGAS,,ABGLORS,1,
,BRUCITE,s,BCEIRTU,1,
,BRUTEST,,BERSTTU,1,2
,BUDWOOD,s,BDDOOUW,1,
,BULGARS,,ABGLRSU,1,
,BULKERS,,BEKLRSU,1,2
,BULLEYS,,BELLSUY,1,
,BUMBAGS,,ABBGMSU,1,
,BUMBOYS,,BBMOSUY,1,
,BUMWADS,,ABDMSUW,1,
,BUNCHER,s,BCEHNRU,1,
,BUNCOES,,BCENOSU,1,2
,BUNHEAD,s,ABDEHNU,1,
,BUNKIES,,BEIKNSU,1,
,BUNYIPS,,BINPSUY,1,
,BURKHAS,,ABHKRSU,1,2
,BURPEES,,BEEPRSU,1,
,BUSHIES,t,BEHISSU,1,
,BUSHLOT,s,BHLOSTU,1,
,BUSTEES,,BEESSTU,1,
,BUTTLED,,BDELTTU,1,
,BUTTLES,,BELSTTU,1,
,BUZZIER,,BEIRUZZ,1,
,CABOVER,s,ABCEORV,1,
,CACHACA,s,AAACCCH,1,
,CAFARDS,,AACDFRS,1,
,CAGOULE,s,ACEGLOU,1,
,CAHOUNS,,ACHNOSU,1,
,CAKEBOX,,ABCEKOX,1,
,CALIXES,,ACEILSX,1,
,CALLOUT,s,ACLLOTU,1,2
,CALLUNA,s,AACLLNU,1,2
,CALZONI,,ACILNOZ,1,
,CAMCORD,s,ACCDMOR,1,
,CAMWOOD,s,ACDMOOW,1,
,CANINGS,,ACGINNS,1,
,CANTHIC,,ACCHINT,1,
,CAPEESH,,ACEEHPS,1,2
,CAPISCE,,ACCEIPS,1,3
,CAPRESE,s,ACEEPRS,1,3
,CARDIOS,,ACDIORS,1,2
,CARIBOO,s,ABCIOOR,1,
,CARINGS,,ACGINRS,2,5
,CARTFUL,s,ACFLRTU,1,
,CARVERY,,ACERRVY,1,
