,POGO,s,GOOP,1
,PROB,es,BOPR,1
,PUDU,s,DPUU,1
,PULK,as,KLPU,1
,RENO,s,ENOR,1
b,ROOS,et,OORS,1
,RUKH,s,HKRU,1
,RYUS,,RSUY,1
,SEPS,,EPSS,1
,SESH,,EHSS,1
,SEVS,,ESSV,1
a,SHEN,dt,EHNS,1
,SHHH,,HHHS,1
,SIGS,,GISS,1
at,SKED,s,DEKS,1
,SKOL,s,KLOS,1
,SKRY,,KRSY,1
,SOHS,,HOSS,1
,SOJU,s,JOSU,1
,SUKH,s,HKSU,1
,SUMI,s,IMSU,1
,SUMY,,MSUY,1
,TASE,drs,AEST,1
,TECS,,CEST,1
,TEGU,as,EGTU,1
s,TEIN,ds,EINT,1
,TIAN,s,AINT,1
,TIYN,s,INTY,1
,TIZZ,y,ITZZ,1
s,TOCK,s,CKOT,1
,TOCO,s,COOT,1
,TOLT,s,LOTT,1
,TOSA,s,AOST,1
,TREM,s,EMRT,1
,TROU,t,ORTU,1
s,TUMS,,MSTU,1
,TURR,s,RRTU,1
gs,UMMA,hs,AMMU,1
bh,UMPH,s,HMPU,1
m,UNIS,,INSU,1
,VEGA,ns,AEGV,1
,VIFF,s,FFIV,1
,VINS,,INSV,1
,VLEI,s,EILV,1
,VLOG,s,GLOV,1
,VOGS,,GOSV,1
,VOLK,s,KLOV,1
,VULN,s,LNUV,1
,WAAH,,AAHW,1
,WALI,s,AILW,1
,WETA,s,AETW,1
,WIKI,s,IIKW,1
,YAGE,rs,AEGY,1
,YEOW,,EOWY,1
,YOMP,s,MOPY,1
,YOOF,s,FOOY,1
,YUZU,s,UUYZ,1
,ZEDA,s,ADEZ,1
,ZIZZ,,IZZZ,1
,ACAI,s,AACI,1
,ACAIS,,AACIS,1
m,ACROS,s,ACORS,2
,ADBOT,s,ABDOT,1
,ADMIN,s,ADIMN,1
,AFROS,,AFORS,1
,AGLOO,s,AGLOO,1
,AGLUS,,AGLSU,1
,AGROS,,AGORS,1
,AGUED,,ADEGU,1
,AIYEE,,AEEIY,1
v,ALVAR,s,AALRV,1
,AMRIT,as,AIMRT,1
,ANURA,ln,AANRU,1
,ARCHI,l,ACHIR,1
,ARROZ,,AORRZ,1
gm,ASCON,s,ACNOS,1
,ASURA,s,AARSU,1
,ASWIM,,AIMSW,1
,ATIGI,s,AGIIT,1
,AYAYA,s,AAAYY,1
,BACCY,,ABCCY,1
,BALTI,s,ABILT,1
,BANCS,,ABCNS,1
,BARFI,s,ABFIR,1
,BARRY,,ABRRY,1
,BAWKS,,ABKSW,1
,BAWNS,,ABNSW,1
,BAYER,,ABERY,1
,BEALS,,ABELS,1
,BEDAD,,ABDDE,1
,BEGAD,,ABDEG,1
,BEGEM,s,BEEGM,1
,BEVVY,,BEVVY,1
,BHAJI,s,ABHIJ,1
,BIBES,,BBEIS,1
,BLAGS,,ABGLS,1
,BLECH,,BCEHL,1
,BLING,s,BGILN,1
,BLINY,,BILNY,1
,BOBOS,,BBOOS,1
,BOEUF,s,BEFOU,1
,BONCE,s,BCENO,1
,BOPPY,,BOPPY,1
,BOULT,s,BLOTU,1
,BOXLA,s,ABLOX,1
,BROCH,es,BCHOR,1
,BUBBE,s,BBBEU,1
,BURFI,s,BFIRU,1
,BURKS,,BKRSU,1
,BUTOH,s,BHOTU,1
,BUZZY,,BUYZZ,1
,CAMIS,ae,ACIMS,1
,CAPOT,es,ACOPT,1
,CAPRI,cs,ACIPR,1
,CAURI,s,ACIRU,1
,CAVAS,,AACSV,1
,CERTS,,CERST,1
,CHANA,s,AACHN,1
,CHEMS,,CEHMS,2
ae,CHING,s,CGHIN,2
,CHOCS,,CCHOS,1
,CHOIL,s,CHILO,2
,CHOLI,s,CHILO,2
,CHONS,,CHNOS,1
,CHUSE,ds,CEHSU,1
,CIGGY,,CGGIY,1
,CINQS,,CINQS,1
,CIRCS,,CCIRS,1
,CLEGS,,CEGLS,1
,CLITS,,CILST,1
,COADY,s,ACDOY,1
,COHOE,s,CEHOO,1
,COMBI,s,BCIMO,1
,COMMO,ns,CMMOO,1
,COMMS,,CMMOS,1
,COPSY,,COPSY,1
,COQUI,s,CIOQU,1
,COYAU,s,ACOUY,1
s,CRIPS,,CIPRS,1
,CRUDO,s,CDORU,1
,CRUFT,s,CFRTU,1
,CRUNK,s,CKNRU,1
s,CRYER,s,CERRY,1
,CUNIT,s,CINTU,1
,CUZES,,CESUZ,1
,DEBUR,rs,BDERU,1
,DECAN,eist,ACDEN,1
,DEMOI,,DEIMO,1
,DESHI,s,DEHIS,1
,DESIS,t,DEISS,1
,DEVIS,e,DEISV,1
,DHIKR,s,DHIKR,1
a,DOBES,,BDEOS,1
,DOGAN,s,ADGNO,1
,DOOBS,,BDOOS,1
a,DORES,,DEORS,1
,DOSAI,,ADIOS,1
,DOSAS,,ADOSS,1
,DOSHA,s,ADHOS,1
,DOUTS,,DOSTU,1
,DROKE,s,DEKOR,1
,DRYAS,,ADRSY,1
,DULCE,st,CDELU,1
,DUNNO,,DNNOU,1
,DWALE,s,ADELW,1
lt,EASER,s,AEERS,1
,EEJIT,s,EEIJT,1
tw,EENSY,,EENSY,1
,EJIDO,s,DEIJO,1
,EKKAS,,AEKKS,1
,ELVEN,,EELNV,1
,EMERG,es,EEGMR,1
,EMICS,,CEIMS,1
,EQUES,,EEQSU,1
,ERUVS,,ERSUV,1
,ETICS,,CEIST,1
,FACTA,,AACFT,1
,FAFFS,,AFFFS,1
,FAKIE,s,AEFIK,1
,FELTY,,EFLTY,1
,FESTA,ls,AEFST,1
,FILKS,,FIKLS,1
,FLAKS,,AFKLS,1
,FLAVA,s,AAFLV,1
,FOREX,,EFORX,1
,FRACK,s,ACFKR,1
,FREON,s,EFNOR,1
,FUDGY,,DFGUY,1
,GABBA,s,AABBG,1
,GALED,,ADEGL,1
,GATCH,,ACGHT,1
,GAUCH,eo,ACGHU,1
,GEANS,,AEGNS,1
,GELLY,,EGLLY,1
,GINCH,,CGHIN,2
,GITCH,,CGHIT,1
,GLOOP,sy,GLOOP,1
,GOATY,,AGOTY,1
,GOEST,,EGOST,1
,GOETH,,EGHOT,1
,GOJIS,,GIJOS,1
,GONCH,,CGHNO,1
,GOOLY,,GLOOY,1
,GOTCH,a,CGHOT,1
,GROVY,,GORVY,1
,GRRRL,s,GLRRR,1
,GUMMI,s,GIMMU,1
,GUNGE,ds,EGGNU,1
,GUNGY,,GGNUY,1
,GURDY,,DGRUY,1
,GYNIE,s,EGINY,1
,GYNOS,,GNOSY,1
,GYPOS,,GOPSY,1
,GYPPO,s,GOPPY,1
,HAICK,s,ACHIK,1
,HALWA,s,AAHLW,1
,HAPPI,s,AHIPP,1
,HARAM,,AAHMR,1
,HEVEA,s,AEEHV,1
,HIMBO,s,BHIMO,1
,HOLME,s,EHLMO,1
ct,HOLOS,,HLOOS,1
,HOMAS,,AHMOS,1
,HOPAK,s,AHKOP,1
,HORKS,,HKORS,1
,HOTTY,,HOTTY,1
,HUGGY,,GGHUY,1
,HWYLS,,HLSWY,1
r,IDENT,s,DEINT,1
,IMPRO,sv,IMOPR,1
,INBOX,,BINOX,1
,IXNAY,,AINXY,1
lvw,IZARD,s,ADIRZ,1
,JAKER,,AEJKR,1
,JANNY,,AJNNY,1
,JEEZE,,EEEJZ,1
d,JIBBA,hs,ABBIJ,1
,JIRDS,,DIJRS,1
,JOCKY,,CJKOY,1
,JOOKS,,JKOOS,1
,JUMAR,s,AJMRU,1
,JUVIE,s,EIJUV,1
,KAPOW,s,AKOPW,1
,KAPUS,,AKPSU,1
,KARRI,s,AIKRR,1
,KEMPY,,EKMPY,1
,KETAS,,AEKST,1
,KEYER,s,EEKRY,1
,KIACK,s,ACIKK,1
,KINDA,,ADIKN,1
,KIPPA,hs,AIKPP,1
,KLIEG,s,EGIKL,1
,KNURR,s,KNRRU,1
,KOFTA,s,AFKOT,1
,KOKAM,s,AKKMO,1
,KOKUM,s,KKMOU,1
,KRAIS,,AIKRS,1
,KRAYS,,AKRSY,1
,KUBIE,s,BEIKU,1
,KULFI,s,FIKLU,1
,KUMIS,s,IKMSU,1
,KYLIN,s,IKLNY,1
,LADDY,,ADDLY,1
s,LAHAL,s,AAHLL,1
g,LAIRY,,AILRY,1
bp,LANCH,,ACHLN,1
,LARNS,,ALNRS,1
,LARNT,,ALNRT,1
cg,LASSY,,ALSSY,1
g,LEDES,,DEELS,1
,LEVAS,,AELSV,1
,LINNY,,ILNNY,1
,LIPAS,e,AILPS,2
,LIPOS,,ILOPS,1
bef,LITES,t,EILST,1
c,LOCHE,s,CEHLO,1
,LOCIE,s,CEILO,1
,LOCIS,,CILOS,1
,LOOKY,,KLOOY,1
,LOTSA,,ALOST,1
,LOTTA,,ALOTT,1
,LOVEY,s,ELOVY,1
,LUDOS,,DLOSU,1
,LUVED,,DELUV,1
,LUVVY,,LUVVY,1
,LUXER,,ELRUX,1
,MAHUA,s,AAHMU,1
,MAHWA,s,AAHMW,1
,MAKIS,,AIKMS,1
,MAMEE,s,AEEMM,1
,MANEB,s,ABEMN,1
,MANKY,,AKMNY,1
,MASES,,AEMSS,1
,MAUSY,,AMSUY,1
,MAUZY,,AMUYZ,1
,MECHS,,CEHMS,2
,MENTO,rs,EMNOT,1
,MICKY,,CIKMY,1
,MIKVA,hs,AIKMV,1
,MIRID,s,DIIMR,1
,MOCHI,s,CHIMO,1
,MOFOS,,FMOOS,1
,MOHOS,,HMOOS,1
,MOLYS,,LMOSY,1
,MONIC,,CIMNO,1
,MONTY,,MNOTY,1
,MOOKS,,KMOOS,1
,MOPPY,,MOPPY,1
,MULIE,s,EILMU,1
,MUMSY,,MMSUY,1
,MUNGS,,GMNSU,1
,MUSOS,,MOSSU,1
,MUTHA,s,AHMTU,1
,MUXED,,DEMUX,1
,MUXES,,EMSUX,1
,MUZAK,s,AKMUZ,1
,NAGAS,,AAGNS,1
,NANNA,s,AANNN,1
,NANOS,,ANNOS,1
,NEWBS,,BENSW,1
,NEXTS,,ENSTX,1
s,NIFFS,,FFINS,1
s,NIFFY,,FFINY,1
,NIKAH,s,AHIKN,1
,NINER,s,EINNR,1
,NIQAB,s,ABINQ,1
,NOYAU,x,ANOUY,1
s,NUFFS,,FFNSU,1
,NUMMY,,MMNUY,1
,NUTSO,s,NOSTU,1
s,OAKED,,ADEKO,1
bl,OCHES,,CEHOS,1
,OGEED,,DEEGO,1
cmr,OLLIE,ds,EILLO,1
,ORACY,,ACORY,1
,OSCAR,s,ACORS,2
,OTAKU,,AKOTU,1
,OUTRO,sw,OORTU,1
,OUTTA,,AOTTU,1
b,OXERS,,EORSX,1
,PAANS,,AANPS,1
,PALIS,h,AILPS,2
,PALSA,s,AALPS,1
,PAREN,st,AENPR,1
s,PARKY,,AKPRY,1
,PASHM,s,AHMPS,1
,PASKA,s,AAKPS,1
,PAUAS,,AAPSU,1
,PELAU,s,AELPU,1
,PEPSI,ns,EIPPS,1
,PERCS,,CEPRS,1
,PERVO,s,EOPRV,1
,PERVY,,EPRVY,1
